area,livello_attuale,spendibilita_concorsi,gap,azione
comunicazione istituzionale digitale,alto,molto alta,formalizzare risultati e metriche,creare portfolio progetti
digital governance,alto,alta,rafforzare CAD e servizi digitali,schede studio + casi portale
accessibilità digitale,alto,alta,aggiornare su EAA e WCAG,scheda normativa e checklist
social media e multimedia,alto,media-alta,tradurre in valore pubblico e reputazione,metriche e casi
AlmaLaurea Alumni orientamento,medio-alto,alta per università,rafforzare dati e placement,scheda progetto
terza missione public engagement,medio-alto,alta,rafforzare ANVUR e stakeholder engagement,studio mirato
PNRR e progetti complessi,medio-alto,alta,documentare ruolo e risultati,scheda USCEM
management pubblico,medio,alta,gap su performance e PIAO,studio + simulazioni
diritto amministrativo,medio,alta,gap avanzato,studio sistematico
pubblico impiego,medio,alta,gap CCNL e responsabilità,studio CCNL
contabilità pubblica,basso,media,gap bilancio/programmazione,base operativa
contratti pubblici,medio,media-alta,gap nuovo Codice e MePA avanzato,studio pratico
responsabilità dirigenziale,basso-medio,alta per futuro,gap teorico e casi,studio dirigenza PA
inglese,B1,media,gap per profili internazionali,rafforzare B2/C1
